RecordID;FirstName;LastName;FullName;Age;Gender;Country;Province;SouthAfricanID;CaseNumber;CrimeType;FinancialScore;EstimatedFraudAmount_ZAR;RiskLevel;CaseStatus;BankInvolved;PreviousOffenses;Arrested;CrimeDate;CourtDate;InvestigatingOfficer;StationCode
89;Mpho;Khumalo;Mpho Khumalo;26;Female;South Africa;KwaZulu-Natal;7,50915E+12;SA-CAS-632006;Corruption;748;2144792;Medium;Closed;Standard Bank;9;No;2017/08/20;2025/04/28;Officer Naidoo;SA-ST-995
90;Zanele;Nkosi;Zanele Nkosi;27;Female;South Africa;Free State;6,00223E+12;SA-CAS-916933;Drug Trafficking;581;436626;High;Under Investigation;Standard Bank;7;No;2018/10/16;2018/09/13;Officer Nkosi;SA-ST-910
91;Naledi;Mabaso;Naledi Mabaso;50;Female;South Africa;Eastern Cape;7,80308E+12;SA-CAS-851129;Identity Theft;494;3204878;High;Convicted;African Bank;4;Yes;2024/09/23;2023/02/24;Officer Smith;SA-ST-541
92;Naledi;Nkosi;Naledi Nkosi;46;Female;South Africa;Limpopo;9,90612E+12;SA-CAS-167064;Identity Theft;452;678238;High;Court Pending;FNB;8;No;2015/09/27;2020/09/04;Officer Moyo;SA-ST-419
93;Nomsa;Ndlovu;Nomsa Ndlovu;23;Male;South Africa;Limpopo;6,10214E+12;SA-CAS-761155;Vehicle Theft;608;1394716;High;Open;Absa;2;Yes;2019/02/07;2023/08/09;Officer Naidoo;SA-ST-959
94;Lerato;Pillay;Lerato Pillay;48;Female;South Africa;Free State;8,31005E+12;SA-CAS-199122;Cybercrime;807;3853663;Medium;Closed;Standard Bank;0;No;2017/06/30;2020/11/27;Officer Moyo;SA-ST-573
95;Brian;Mthembu;Brian Mthembu;28;Female;South Africa;KwaZulu-Natal;8,80901E+12;SA-CAS-701980;Vehicle Theft;573;366883;Low;Closed;Nedbank;8;No;2024/04/08;2018/07/08;Officer Smith;SA-ST-563
96;Naledi;Ndlovu;Naledi Ndlovu;42;Female;South Africa;Northern Cape;7,31215E+12;SA-CAS-176549;Money Laundering;758;3412155;Low;Court Pending;Capitec;10;No;2022/08/08;2021/11/18;Officer Mabena;SA-ST-229
97;Sipho;Dlamini;Sipho Dlamini;25;Female;South Africa;Gauteng;6,01205E+12;SA-CAS-899591;Drug Trafficking;378;942437;Critical;Under Investigation;Standard Bank;0;Yes;2022/07/16;2016/06/06;Officer Smith;SA-ST-983
98;Naledi;Khumalo;Naledi Khumalo;34;Male;South Africa;KwaZulu-Natal;4,12074E+11;SA-CAS-650422;Drug Trafficking;472;1625221;Critical;Convicted;Standard Bank;9;No;2020/08/09;2021/02/22;Officer Moyo;SA-ST-347
99;Thabo;Mabaso;Thabo Mabaso;55;Male;South Africa;KwaZulu-Natal;8,61219E+12;SA-CAS-617894;Cybercrime;341;995473;Critical;Closed;Absa;5;No;2025/09/13;2022/12/14;Officer Naidoo;SA-ST-798
100;Tendai;Naidoo;Tendai Naidoo;30;Female;South Africa;Mpumalanga;8,70915E+12;SA-CAS-510200;Fraud;444;4509673;High;Court Pending;African Bank;7;Yes;2018/05/28;2020/07/06;Officer Nkosi;SA-ST-837
101;Brian;Pillay;Brian Pillay;26;Female;South Africa;Gauteng;7,70425E+12;SA-CAS-628677;Corruption;560;4855946;High;Under Investigation;Absa;2;Yes;2016/12/01;2016/03/10;Officer Nkosi;SA-ST-427
102;Sipho;Zulu;Sipho Zulu;19;Female;South Africa;Limpopo;6,40526E+12;SA-CAS-408726;Armed Robbery;659;897579;Critical;Open;Capitec;4;No;2022/07/18;2023/07/24;Officer Moyo;SA-ST-607
103;Ayanda;Pillay;Ayanda Pillay;36;Female;South Africa;KwaZulu-Natal;6,30923E+12;SA-CAS-784231;Drug Trafficking;473;797938;Low;Court Pending;African Bank;3;Yes;2025/09/30;2020/01/20;Officer Mabena;SA-ST-886
104;Zanele;Naidoo;Zanele Naidoo;35;Female;South Africa;Northern Cape;8,20406E+12;SA-CAS-731762;Vehicle Theft;581;4684761;Medium;Under Investigation;Absa;0;No;2017/02/21;2024/01/04;Officer Nkosi;SA-ST-448
105;Zanele;Mokoena;Zanele Mokoena;61;Male;South Africa;Mpumalanga;6,01119E+12;SA-CAS-160798;Corruption;507;2528237;Low;Court Pending;FNB;5;Yes;2020/02/15;2017/11/10;Officer Smith;SA-ST-187
106;Naledi;Zulu;Naledi Zulu;21;Female;South Africa;Eastern Cape;5,07198E+11;SA-CAS-678773;Drug Trafficking;545;3383804;Medium;Convicted;Absa;3;No;2016/08/25;2020/02/03;Officer Naidoo;SA-ST-437
107;Thabo;Pillay;Thabo Pillay;57;Female;South Africa;North West;6,20123E+12;SA-CAS-443171;Identity Theft;465;3412676;Medium;Convicted;African Bank;2;Yes;2015/10/25;2020/03/17;Officer Moyo;SA-ST-389
108;Ayanda;Dlamini;Ayanda Dlamini;64;Male;South Africa;North West;7,3021E+12;SA-CAS-907197;Fraud;326;2591355;Medium;Convicted;Nedbank;1;No;2017/10/30;2015/02/27;Officer Moyo;SA-ST-958
109;Ayanda;Ndlovu;Ayanda Ndlovu;55;Male;South Africa;Free State;9,80503E+12;SA-CAS-701793;Corruption;390;1165837;High;Court Pending;Standard Bank;1;Yes;2017/08/02;2017/12/14;Officer Mabena;SA-ST-780
110;Thabo;Mthembu;Thabo Mthembu;18;Female;South Africa;North West;9,71027E+12;SA-CAS-645693;Fraud;433;2529427;Medium;Convicted;FNB;6;No;2023/01/30;2019/10/06;Officer Nkosi;SA-ST-663
111;Naledi;Mabaso;Naledi Mabaso;19;Male;South Africa;Western Cape;7,70109E+12;SA-CAS-664931;Vehicle Theft;569;1707074;Critical;Closed;FNB;8;Yes;2024/01/15;2017/10/10;Officer Nkosi;SA-ST-413
112;Tendai;Naidoo;Tendai Naidoo;40;Female;South Africa;Limpopo;7,2081E+12;SA-CAS-844297;Armed Robbery;834;2091110;Critical;Convicted;Capitec;2;Yes;2016/10/04;2018/05/02;Officer Smith;SA-ST-272
113;Brian;Naidoo;Brian Naidoo;46;Male;South Africa;Mpumalanga;7,50726E+12;SA-CAS-763376;Cybercrime;511;4435890;High;Under Investigation;Nedbank;8;No;2023/04/21;2025/02/11;Officer Smith;SA-ST-122
114;Mpho;Mthembu;Mpho Mthembu;40;Male;South Africa;Western Cape;6,30327E+12;SA-CAS-406773;Armed Robbery;454;1633714;Critical;Under Investigation;Capitec;7;No;2025/01/25;2025/11/19;Officer Nkosi;SA-ST-498
115;Sipho;Nkosi;Sipho Nkosi;55;Female;South Africa;Gauteng;7,20216E+12;SA-CAS-318948;Cybercrime;673;54934;Low;Closed;FNB;7;Yes;2015/03/12;2021/01/12;Officer Nkosi;SA-ST-846
